id,user_id,order_date,status,_etl_loaded_at
1,1,2018-01-01,returned,2023-11-18 02:11:07.777 -0800
2,3,2018-01-02,completed,2023-11-18 02:11:07.777 -0800
3,94,2018-01-04,completed,2023-11-18 02:11:07.777 -0800
4,50,2018-01-05,completed,2023-11-18 02:11:07.777 -0800
5,74,2018-01-05,completed,2023-11-18 02:11:07.777 -0800
6,54,2018-01-07,completed,2023-11-18 02:11:07.777 -0800
7,88,2018-01-09,completed,2023-11-18 02:11:07.777 -0800
8,2,2018-01-11,returned,2023-11-18 02:11:07.777 -0800
9,53,2018-01-12,completed,2023-11-18 02:11:07.777 -0800
10,7,2018-01-14,completed,2023-11-18 02:11:07.777 -0800
11,99,2018-01-14,completed,2023-11-18 02:11:07.777 -0800
12,59,2018-01-15,completed,2023-11-18 02:11:07.777 -0800
13,84,2018-01-17,completed,2023-11-18 02:11:07.777 -0800
14,40,2018-01-17,returned,2023-11-18 02:11:07.777 -0800
15,25,2018-01-17,completed,2023-11-18 02:11:07.777 -0800
16,39,2018-01-18,completed,2023-11-18 02:11:07.777 -0800
17,71,2018-01-18,completed,2023-11-18 02:11:07.777 -0800
18,64,2018-01-20,returned,2023-11-18 02:11:07.777 -0800
19,54,2018-01-22,completed,2023-11-18 02:11:07.777 -0800
20,85,2023-11-23,returned,2023-11-18 02:11:07.777 -0800
21,90,2023-11-23,completed,2023-11-18 02:11:07.777 -0800
22,96,2023-11-20,completed,2023-11-20 02:07:44.423 -0800
23,106,2023-11-20,returned,2023-11-21 01:49:28.864 -0800
24,112,2023-11-20,completed,2024-01-06 17:06:08.034 -0800
25,108,2023-11-30,completed,2023-11-30 22:46:34.413 -0800
26,109,2023-11-30,completed,2024-01-06 16:35:59.791376+05:30
27,110,2023-11-30,completed,2024-01-06 16:57:59.791376+05:30
28,111,2023-11-30,completed,2024-01-06 17:01:59.791376+05:30
29,115,2023-11-30,completed,2024-01-22 22:40:49.585686+05:30
30,116,2023-11-30,completed,2024-01-22 22:36:22.647877+05:30
31,117,2023-11-30,completed,2024-01-22 23:05:14.6507+05:30
32,118,2023-11-30,completed,2024-01-29 23:14:28.34917+05:30
33,119,2023-11-30,completed,2024-01-29 23:19:28.34917+05:30
34,120,2023-11-30,completed,2024-01-29 23:22:28.34917+05:30
35,121,2023-11-30,completed,2024-01-29 23:24:28.34917+05:30
36,126,2023-11-30,completed,2024-02-02 22:47:28.34917+05:30
37,123,2023-11-30,completed,2024-01-29 23:27:28.34917+05:30
38,123,2023-11-30,completed,2024-01-29 23:29:28.34917+05:30
39,124,2023-11-30,completed,2024-02-02 22:23:28.34917+05:30
40,125,2023-11-30,completed,2024-02-02 22:43:28.34917+05:30
41,128,2023-11-30,completed,2024-02-03 16:22:28.34917+05:30
42,130,2023-11-30,completed,2024-02-03 16:27:28.34917+05:30
